member_id,tier,enrollment_date,tenure_days,primary_hub,days_since_last_booking,bookings_last_90d,bookings_last_180d,bookings_last_365d,total_bookings_lifetime,avg_fare,total_spend_lifetime,fare_class_most_common,pct_discount_fares,unique_routes_lifetime,route_diversity_score,pct_bookings_summer,pct_bookings_holiday,points_balance,points_earned_last_90d,points_earning_velocity,redemption_gap_days,points_redeemed_last_365d,points_expiring_soon,complaints_last_365d,support_tickets_open,avg_support_csat,promos_sent_last_180d,promos_redeemed_last_180d,promo_response_rate,app_logins_last_90d,email_open_rate,recency_score,frequency_score,monetary_score,rfm_score,churn_label
TB000001,Blue,2026-01-02,234,MCO,23,0,3,6,6,276.27,1424.78,Blue Basic,0.291,7,1.0,0.31,0.028,6368,2683,29.81,69,13375,0,0,0,4.73,7,2,0.3,16,0.353,97.4,72,14.2,61.2,0
TB000002,Blue,2018-07-07,2970,MCO,158,0,1,1,18,334.19,6109.33,Blue Extra,0.019,3,0.167,0.34,0.126,15870,3837,42.63,10,9245,0,1,0,3.38,4,1,0.353,18,0.423,82.4,12,61.1,51.8,1
TB000003,Blue,2022-09-23,1431,SJU,130,0,0,5,6,221.62,1259.62,Blue Extra,0.557,5,0.833,0.314,0.167,16141,276,3.07,358,6045,0,2,0,3.01,5,2,0.432,17,0.011,85.6,60,12.6,52.7,1
TB000004,Blue,2017-08-10,3301,BOS,47,3,3,3,4,153.53,551.48,Blue,0.228,1,0.25,0.036,0.111,4584,0,0.0,548,0,1,1,0,3.27,7,0,0.0,5,0.133,94.8,36,5.5,45.4,1
TB000005,Blue,2022-07-23,1493,SJU,187,1,3,3,8,330.04,2372.23,Mint,0.582,2,0.25,0.292,0.153,0,4816,53.51,423,5473,0,1,0,4.35,7,3,0.482,0,0.211,79.2,36,23.7,46.3,1
TB000006,Blue,2022-11-11,1382,BOS,93,3,4,7,10,250.56,2364.07,Mint,0.18,3,0.3,0.412,0.189,7329,3457,38.41,59,6453,0,1,0,3.65,10,4,0.35,7,0.343,89.7,84,23.6,65.8,0
TB000007,Blue Plus,2023-08-07,1113,JFK,129,0,1,4,5,318.76,1669.82,Blue,0.011,7,1.0,0.19,0.0,17419,2855,31.72,84,9694,0,0,0,4.66,8,2,0.196,14,0.361,85.7,48,16.7,50.1,1
TB000008,Blue,2024-05-14,832,JFK,36,4,9,11,17,370.55,6272.21,Blue Basic,0.158,8,0.471,0.469,0.151,28420,2328,25.87,10,8800,0,0,0,4.62,3,1,0.471,20,0.61,96.0,100,62.7,86.2,0
TB000009,Blue,2025-03-13,529,MCO,136,1,1,2,10,428.35,3743.92,Blue Basic,0.082,3,0.3,0.115,0.258,5086,1084,12.04,8,14229,0,1,0,3.3,7,2,0.245,4,0.344,84.9,24,37.4,48.8,0
TB000010,Blue,2016-04-23,3775,MCO,15,2,2,5,14,263.33,3369.37,Blue Basic,0.575,2,0.143,0.302,0.184,14420,0,0.0,262,13289,0,1,1,3.51,4,0,0.0,0,0.309,98.3,60,33.7,64.0,0
TB000011,Blue Plus,2023-01-29,1303,LAX,176,3,5,9,12,381.72,5137.65,Blue Extra,0.391,6,0.5,0.454,0.17,24445,5177,57.52,33,0,0,1,0,4.89,9,3,0.32,7,0.522,80.4,100,51.4,77.3,0
