transaction_id,transaction_amount,transaction_hour,device_type,location_mismatch,previous_fraud_flags,velocity_last_1hr,merchant_category,card_type,account_age_days,failed_auth_attempts,ip_country_match,amount_deviation_ratio,transaction_channel,is_weekend,distance_from_home_km,cvv_match,is_fraudulent_transaction
TXN0000001,,9.0,desktop,0.0,0.0,0.0,travel,,170.0,0.0,1.0,-0.292,,0.0,5.89,,0
TXN0000002,,,mobile,0.0,0.0,,travel,credit,189.0,0.0,1.0,,pos,1.0,7.63,,0
TXN0000003,172.55,15.0,desktop,0.0,0.0,,groceries,debit,,0.0,1.0,-0.7713,mobile_app,0.0,22.43,1.0,0
TXN0000004,2729.47,21.0,desktop,0.0,0.0,9.0,gambling,prepaid,22.0,4.0,,5.9249,online,0.0,202.49,,1
TXN0000005,232.76,,mobile,1.0,1.0,0.0,entertainment,debit,557.0,1.0,1.0,-0.5409,online,0.0,,1.0,0
TXN0000006,,13.0,mobile,0.0,0.0,0.0,electronics,virtual,613.0,0.0,1.0,,online,0.0,,1.0,0
TXN0000007,,15.0,desktop,,0.0,2.0,groceries,,159.0,0.0,1.0,,,0.0,6.49,1.0,0
TXN0000008,101.88,11.0,mobile,1.0,0.0,,groceries,,241.0,1.0,1.0,,online,1.0,,1.0,0
TXN0000009,214.54,,mobile,0.0,0.0,,groceries,,1080.0,0.0,1.0,,pos,1.0,0.08,1.0,0
TXN0000010,192.56,8.0,mobile,0.0,0.0,,retail,credit,2610.0,0.0,1.0,-0.3788,online,0.0,0.99,1.0,0
TXN0000011,1278.81,20.0,mobile,1.0,2.0,6.0,entertainment,virtual,28.0,,0.0,2.1807,online,1.0,25.87,,1
TXN0000012,28.27,7.0,desktop,0.0,0.0,2.0,entertainment,credit,143.0,,1.0,-0.8716,mobile_app,0.0,0.71,1.0,0
TXN0000013,,21.0,desktop,0.0,1.0,1.0,entertainment,debit,1943.0,0.0,1.0,,pos,,,,0
TXN0000014,211.62,9.0,mobile,0.0,0.0,0.0,groceries,debit,822.0,0.0,1.0,-0.7201,pos,0.0,87.43,1.0,0
TXN0000015,48.7,9.0,desktop,0.0,0.0,0.0,entertainment,debit,,,1.0,-0.9188,atm,0.0,,,0
TXN0000016,13.32,9.0,tablet,0.0,0.0,0.0,entertainment,debit,469.0,0.0,1.0,-0.9777,pos,0.0,,1.0,0
TXN0000017,71.06,15.0,tablet,0.0,0.0,1.0,entertainment,debit,488.0,,,-0.4621,mobile_app,0.0,3.76,,0
TXN0000018,116.49,19.0,mobile,0.0,0.0,3.0,,credit,,0.0,1.0,-0.5589,online,,25.43,1.0,0
TXN0000019,7.45,12.0,mobile,0.0,0.0,2.0,electronics,credit,823.0,,1.0,,atm,1.0,,1.0,0
TXN0000020,766313.41,19.0,mobile,,,2.0,travel,debit,326.0,0.0,1.0,4311.8307,,1.0,3.63,1.0,0
TXN0000021,,12.0,mobile,0.0,0.0,1.0,retail,debit,2554.0,0.0,1.0,0.5194,atm,0.0,10.72,1.0,0
TXN0000022,125.2,9.0,desktop,0.0,0.0,0.0,retail,debit,509.0,0.0,1.0,0.0535,atm,1.0,13.95,1.0,0
TXN0000023,15.96,21.0,desktop,0.0,0.0,,electronics,debit,1294.0,,1.0,,online,0.0,3.46,1.0,0
TXN0000024,19.04,12.0,unknown,0.0,0.0,2.0,travel,credit,,1.0,1.0,-0.8198,pos,,4.74,1.0,0
TXN0000025,3181.34,3.0,unknown,1.0,2.0,,crypto,credit,42.0,,,,,0.0,,0.0,1
TXN0000026,48.45,8.0,mobile,0.0,0.0,0.0,healthcare,debit,,0.0,1.0,-0.8266,pos,0.0,11.19,1.0,0
TXN0000027,524.56,,tablet,0.0,,2.0,travel,prepaid,118.0,1.0,1.0,14.0198,online,1.0,23.01,,0
TXN0000028,235.03,12.0,desktop,0.0,0.0,1.0,travel,debit,171.0,0.0,1.0,-0.6753,online,0.0,6.44,,0
TXN0000029,85.22,13.0,mobile,0.0,0.0,0.0,,credit,518.0,1.0,1.0,-0.5405,mobile_app,0.0,52.96,1.0,0
TXN0000030,512.68,6.0,desktop,0.0,0.0,2.0,retail,debit,967.0,0.0,,,pos,1.0,0.6,1.0,0
TXN0000031,1636.28,3.0,unknown,0.0,3.0,,electronics,virtual,11.0,,0.0,4.8078,,0.0,348.36,0.0,1
TXN0000032,687197.86,,mobile,0.0,0.0,1.0,healthcare,debit,14.0,0.0,1.0,1674.0593,atm,0.0,8.92,1.0,0
TXN0000033,111.38,14.0,desktop,0.0,0.0,1.0,retail,debit,1151.0,0.0,1.0,2.1269,online,0.0,12.09,,0
TXN0000034,164.22,17.0,mobile,0.0,0.0,1.0,retail,debit,55.0,,1.0,,,,5.49,1.0,0
TXN0000035,41.44,7.0,desktop,0.0,1.0,1.0,electronics,credit,944.0,0.0,1.0,-0.7527,online,1.0,20.9,1.0,0
TXN0000036,75.11,,desktop,0.0,0.0,3.0,groceries,credit,,,,0.3315,pos,0.0,9.24,1.0,0
TXN0000037,,15.0,,,2.0,13.0,electronics,,,1.0,0.0,1.8454,mobile_app,,237.88,0.0,1
TXN0000038,75.99,8.0,mobile,0.0,0.0,2.0,retail,credit,290.0,0.0,1.0,-0.4287,atm,0.0,,1.0,0
TXN0000039,412.41,14.0,mobile,,1.0,0.0,groceries,credit,241.0,1.0,1.0,1.3561,online,0.0,19.68,1.0,0
TXN0000040,11.37,15.0,mobile,0.0,0.0,,groceries,debit,330.0,1.0,1.0,,online,0.0,34.68,1.0,0
TXN0000041,84.97,17.0,mobile,0.0,0.0,0.0,groceries,credit,2352.0,0.0,1.0,-0.7602,,0.0,4.76,,0
TXN0000042,153.69,13.0,tablet,0.0,0.0,2.0,retail,debit,3105.0,1.0,1.0,0.0585,,0.0,45.12,,0
TXN0000043,,14.0,desktop,0.0,0.0,2.0,travel,debit,,0.0,1.0,0.6694,pos,0.0,4.05,1.0,0
TXN0000044,,18.0,desktop,0.0,0.0,2.0,crypto,debit,,0.0,1.0,,atm,1.0,,1.0,0
TXN0000045,201.24,16.0,desktop,0.0,0.0,2.0,electronics,credit,,0.0,,1.4108,online,0.0,26.1,1.0,0
TXN0000046,253.79,14.0,tablet,0.0,,2.0,groceries,virtual,989.0,,1.0,,,0.0,19.45,1.0,0
TXN0000047,1479.88,0.0,mobile,0.0,4.0,9.0,electronics,prepaid,11.0,3.0,0.0,8.9816,,1.0,759.03,0.0,1
TXN0000048,55.46,15.0,mobile,0.0,0.0,2.0,groceries,,,1.0,1.0,0.7552,pos,0.0,,1.0,0
TXN0000049,,8.0,mobile,1.0,4.0,9.0,travel,debit,64.0,,0.0,1.6212,online,0.0,124.94,0.0,1
TXN0000050,27.01,8.0,mobile,0.0,0.0,2.0,retail,debit,8.0,0.0,,-0.9482,atm,0.0,22.35,,0
TXN0000051,33.82,10.0,mobile,,0.0,3.0,groceries,,1369.0,0.0,1.0,-0.9287,mobile_app,0.0,16.93,1.0,0
TXN0000052,,0.0,desktop,0.0,0.0,1.0,entertainment,prepaid,,0.0,1.0,-0.5493,atm,1.0,26.15,1.0,0
TXN0000053,,10.0,desktop,0.0,0.0,1.0,electronics,prepaid,362.0,0.0,0.0,,online,0.0,26.25,,0
TXN0000054,294.56,15.0,mobile,0.0,0.0,,entertainment,prepaid,636.0,,1.0,1.4868,,1.0,3.49,1.0,0
TXN0000055,35.72,19.0,desktop,0.0,0.0,0.0,entertainment,debit,1192.0,0.0,1.0,-0.9044,,1.0,18.58,1.0,0
TXN0000056,32.16,11.0,mobile,0.0,0.0,0.0,entertainment,prepaid,664.0,0.0,1.0,-0.9082,online,0.0,26.66,1.0,0
TXN0000057,409.02,14.0,desktop,0.0,0.0,,entertainment,,,,1.0,,mobile_app,0.0,41.5,,0
TXN0000058,131.9,11.0,mobile,0.0,0.0,4.0,groceries,credit,1439.0,0.0,1.0,0.9416,online,0.0,3.72,1.0,0
TXN0000059,42.13,6.0,mobile,0.0,1.0,,groceries,debit,741.0,0.0,1.0,0.9005,online,0.0,32.58,1.0,0
TXN0000060,5.56,15.0,desktop,0.0,0.0,,retail,,55.0,0.0,1.0,-0.9919,pos,0.0,,1.0,0
TXN0000061,223.02,15.0,desktop,0.0,0.0,0.0,travel,,651.0,0.0,1.0,,atm,1.0,5.57,1.0,0
TXN0000062,1958.88,16.0,desktop,1.0,1.0,11.0,electronics,credit,27.0,5.0,0.0,,online,0.0,1240.57,0.0,1
TXN0000063,167.26,15.0,mobile,0.0,0.0,0.0,retail,debit,225.0,0.0,1.0,-0.0777,atm,0.0,8.49,1.0,0
TXN0000064,737954.79,20.0,tablet,0.0,0.0,1.0,electronics,credit,705.0,0.0,1.0,2960.0462,atm,1.0,7.17,1.0,0
TXN0000065,297.89,,desktop,0.0,0.0,,retail,credit,50.0,0.0,,4.286,,0.0,,1.0,0
TXN0000066,,14.0,mobile,1.0,1.0,9.0,electronics,prepaid,27.0,2.0,1.0,297.1685,online,1.0,,0.0,1
TXN0000067,53.36,17.0,mobile,1.0,0.0,1.0,healthcare,prepaid,164.0,,1.0,-0.7416,online,0.0,,,0
TXN0000068,,2.0,mobile,0.0,0.0,2.0,travel,credit,140.0,0.0,0.0,-0.2704,mobile_app,0.0,0.85,1.0,0
TXN0000069,224.89,8.0,mobile,0.0,0.0,0.0,groceries,debit,489.0,0.0,1.0,0.2069,,1.0,,,0
TXN0000070,208.19,16.0,desktop,0.0,0.0,,healthcare,credit,,0.0,1.0,,,0.0,20.51,1.0,0
TXN0000071,,1.0,desktop,0.0,0.0,0.0,healthcare,credit,588.0,,1.0,,online,0.0,,1.0,0
TXN0000072,,16.0,tablet,0.0,0.0,,electronics,virtual,,,1.0,,pos,0.0,16.39,1.0,0
TXN0000073,88.87,18.0,mobile,0.0,0.0,1.0,groceries,,784.0,0.0,1.0,-0.0524,online,0.0,5.77,1.0,0
TXN0000074,143.5,7.0,mobile,0.0,0.0,,groceries,virtual,3122.0,1.0,1.0,1.0147,pos,0.0,8.75,1.0,0
TXN0000075,313.33,16.0,desktop,,0.0,1.0,travel,debit,1518.0,0.0,,1.3075,mobile_app,0.0,21.58,1.0,0
TXN0000076,46.56,,mobile,0.0,0.0,2.0,entertainment,debit,1249.0,,1.0,-0.6979,online,0.0,18.62,1.0,0
TXN0000077,221.17,,,0.0,1.0,2.0,electronics,credit,,0.0,1.0,0.3647,pos,0.0,35.38,1.0,0
TXN0000078,78.25,17.0,mobile,0.0,0.0,0.0,entertainment,credit,2230.0,,1.0,-0.216,pos,0.0,52.73,1.0,0
TXN0000079,17.31,4.0,desktop,0.0,0.0,,travel,prepaid,1227.0,0.0,1.0,-0.6475,,1.0,,,0
TXN0000080,,19.0,mobile,0.0,0.0,0.0,entertainment,credit,1228.0,0.0,1.0,-0.837,pos,1.0,,1.0,0
TXN0000081,200.31,18.0,tablet,0.0,0.0,0.0,travel,credit,676.0,0.0,1.0,-0.4921,,0.0,,1.0,0
TXN0000082,108653.63,11.0,desktop,0.0,0.0,,groceries,debit,593.0,0.0,1.0,1296.6099,pos,0.0,11.37,1.0,0
TXN0000083,,14.0,mobile,0.0,0.0,,gambling,,425.0,0.0,1.0,-0.1942,pos,0.0,10.7,1.0,0
TXN0000084,49.23,18.0,desktop,,0.0,4.0,travel,debit,139.0,0.0,1.0,-0.6991,mobile_app,0.0,18.9,,0
TXN0000085,,9.0,desktop,1.0,0.0,,healthcare,credit,155.0,0.0,1.0,-0.9329,mobile_app,1.0,0.18,1.0,0
TXN0000086,,,tablet,0.0,0.0,2.0,entertainment,debit,657.0,,1.0,-0.9612,mobile_app,0.0,,1.0,0
TXN0000087,1054.09,8.0,desktop,0.0,0.0,,electronics,,1731.0,,1.0,2.2485,online,0.0,26.78,1.0,0
TXN0000088,150.76,13.0,mobile,0.0,0.0,1.0,retail,,252.0,,1.0,-0.4571,pos,0.0,23.47,,0
TXN0000089,647.23,15.0,desktop,0.0,,0.0,travel,credit,3846.0,0.0,1.0,15.4009,pos,0.0,44.22,1.0,0
TXN0000090,270.05,13.0,mobile,0.0,0.0,,retail,debit,,0.0,1.0,0.5399,online,1.0,40.4,1.0,0
TXN0000091,,22.0,desktop,0.0,0.0,2.0,electronics,debit,,0.0,1.0,-0.5461,pos,1.0,51.89,1.0,0
TXN0000092,,15.0,desktop,0.0,0.0,,groceries,credit,1125.0,1.0,1.0,2.1937,pos,0.0,11.0,1.0,0
TXN0000093,5.83,13.0,mobile,0.0,0.0,0.0,retail,credit,,0.0,1.0,-0.9256,atm,0.0,18.98,1.0,0
TXN0000094,64.5,12.0,mobile,0.0,0.0,0.0,retail,credit,179.0,0.0,1.0,-0.8211,mobile_app,0.0,10.07,1.0,0
TXN0000095,127.99,8.0,desktop,0.0,0.0,2.0,retail,prepaid,,0.0,,,pos,0.0,,1.0,0
TXN0000096,159.99,18.0,desktop,0.0,0.0,0.0,healthcare,credit,1786.0,,,1.475,pos,0.0,9.74,,0
TXN0000097,59.15,,desktop,0.0,0.0,0.0,entertainment,debit,30.0,0.0,1.0,-0.6322,online,1.0,,1.0,0
TXN0000098,,17.0,desktop,0.0,0.0,0.0,groceries,prepaid,1601.0,0.0,1.0,-0.3085,online,,7.7,1.0,0
TXN0000099,,,mobile,0.0,0.0,2.0,groceries,credit,98.0,0.0,1.0,-0.5337,mobile_app,0.0,7.94,,0
TXN0000100,100.6,0.0,mobile,1.0,0.0,,retail,credit,180.0,0.0,1.0,0.0897,online,0.0,4.82,,0
TXN0000101,21.2,9.0,tablet,,0.0,3.0,travel,debit,214.0,,1.0,-0.8654,pos,1.0,3.51,1.0,0
TXN0000102,32.7,12.0,mobile,0.0,0.0,1.0,travel,debit,1372.0,,1.0,-0.4989,online,0.0,20.65,,0
TXN0000103,,16.0,desktop,0.0,0.0,0.0,retail,virtual,320.0,0.0,1.0,,,0.0,2.43,1.0,0
TXN0000104,236.87,10.0,mobile,0.0,0.0,1.0,groceries,credit,592.0,0.0,1.0,,online,1.0,,1.0,0
TXN0000105,58.66,0.0,mobile,0.0,0.0,0.0,electronics,debit,195.0,0.0,1.0,0.2274,mobile_app,0.0,8.56,1.0,0
TXN0000106,459194.27,17.0,mobile,0.0,,,travel,credit,2586.0,,1.0,2091.7194,pos,0.0,1.16,1.0,0
TXN0000107,262.73,9.0,desktop,,0.0,2.0,retail,debit,,1.0,1.0,0.7332,mobile_app,1.0,,1.0,0
TXN0000108,83.09,14.0,desktop,0.0,0.0,0.0,retail,credit,34.0,1.0,1.0,,online,1.0,,1.0,0
TXN0000109,,18.0,desktop,0.0,0.0,,,virtual,776.0,0.0,1.0,,pos,0.0,,,0
TXN0000110,8.25,8.0,desktop,0.0,0.0,3.0,entertainment,debit,,0.0,1.0,-0.8103,pos,,3.11,1.0,0
TXN0000111,,,mobile,0.0,,1.0,groceries,,1379.0,,1.0,,online,0.0,8.32,1.0,0
TXN0000112,151.24,,desktop,0.0,0.0,1.0,retail,prepaid,358.0,0.0,1.0,0.2682,online,0.0,20.86,1.0,0
TXN0000113,151.54,10.0,mobile,0.0,0.0,1.0,,,15.0,0.0,1.0,,online,1.0,103.05,1.0,0
TXN0000114,15.48,15.0,desktop,0.0,0.0,0.0,groceries,credit,576.0,0.0,1.0,,online,0.0,78.04,1.0,0
TXN0000115,,16.0,desktop,0.0,0.0,1.0,groceries,credit,994.0,,,-0.0904,pos,0.0,14.02,1.0,0
TXN0000116,140.79,9.0,,0.0,0.0,,gambling,debit,423.0,0.0,1.0,0.9393,pos,1.0,18.04,1.0,0
TXN0000117,195.16,16.0,mobile,0.0,,,retail,credit,,0.0,1.0,-0.0747,pos,0.0,,,0
