transaction_amount,transaction_hour,location_mismatch,previous_fraud_flags,velocity_last_1hr,account_age_days,failed_auth_attempts,ip_country_match,amount_deviation_ratio,is_weekend,distance_from_home_km,cvv_match,is_fraudulent_transaction,cvv_match_missing,transaction_amount_missing,ip_country_match_missing,device_type_mobile,device_type_tablet,device_type_unknown,card_type_debit,card_type_prepaid,card_type_virtual,transaction_channel_mobile_app,transaction_channel_online,transaction_channel_pos,merchant_category_electronics,merchant_category_entertainment,merchant_category_gambling,merchant_category_groceries,merchant_category_healthcare,merchant_category_retail,merchant_category_travel
126.26,9.0,0.0,0.0,0.0,170.0,0.0,1.0,-0.292,0.0,5.89,1.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
126.26,12.0,0.0,0.0,,189.0,0.0,1.0,,1.0,7.63,1.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
172.55,15.0,0.0,0.0,,,0.0,1.0,-0.7713,0.0,22.43,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2729.47,21.0,0.0,0.0,9.0,22.0,4.0,1.0,5.9249,0.0,202.49,1.0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
232.76,12.0,1.0,1.0,0.0,557.0,1.0,1.0,-0.5409,0.0,,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
126.26,13.0,0.0,0.0,0.0,613.0,0.0,1.0,,0.0,,1.0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
126.26,15.0,0.0,0.0,2.0,159.0,0.0,1.0,,0.0,6.49,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
101.88,11.0,1.0,0.0,,241.0,1.0,1.0,,1.0,,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
214.54,12.0,0.0,0.0,,1080.0,0.0,1.0,,1.0,0.08,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
192.56,8.0,0.0,0.0,,2610.0,0.0,1.0,-0.3788,0.0,0.99,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1278.81,20.0,1.0,2.0,6.0,28.0,,0.0,2.1807,1.0,25.87,1.0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
28.27,7.0,0.0,0.0,2.0,143.0,,1.0,-0.8716,0.0,0.71,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
126.26,21.0,0.0,1.0,1.0,1943.0,0.0,1.0,,0.0,,1.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
211.62,9.0,0.0,0.0,0.0,822.0,0.0,1.0,-0.7201,0.0,87.43,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
48.7,9.0,0.0,0.0,0.0,,,1.0,-0.9188,0.0,,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
13.32,9.0,0.0,0.0,0.0,469.0,0.0,1.0,-0.9777,0.0,,1.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
71.06,15.0,0.0,0.0,1.0,488.0,,1.0,-0.4621,0.0,3.76,1.0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
116.49,19.0,0.0,0.0,3.0,,0.0,1.0,-0.5589,0.0,25.43,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7.45,12.0,0.0,0.0,2.0,823.0,,1.0,,1.0,,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
766313.41,19.0,0.0,,2.0,326.0,0.0,1.0,4311.8307,1.0,3.63,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
126.26,12.0,0.0,0.0,1.0,2554.0,0.0,1.0,0.5194,0.0,10.72,1.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
